순번,한자,급수,부수,음,훈,音,訓
362,弓,9,弓,궁,활,キュウ,ゆみ
363,丘,4,一,구,언덕,キュウ,おか
364,旧,6,日,구,옛,キュウ,ふる(い)・もと・ふ(る)・ふる(びる)
365,休,10,人,휴,쉬다,キュウ,やす(む)・やす(まる)・やす(める)・いこ(う)・や(める)・さいわ(い)・よ(い)
366,吸,5,口,흡,마시다,キュウ,す(う)
367,朽,4,木,후,썩다,キュウ,く(ちる)・すた(れる)
368,臼,2,臼,구,절구,キュウ,うす
369,求,7,水,구,"구하다, 바라다",キュウ・グ,もと(める)
370,究,8,穴,구,"연구, 파헤치다",キュウ・ク,きわ(める)・きわ(まる)
371,泣,7,水,읍,울다,キュウ,な(く)
372,急,8,心,급,"급하다, 서두르다, 조급해지다, 재촉하다",キュウ,いそ(ぐ)・せ(く)
373,級,8,糸,급,등급,キュウ,しな・くび
374,糾,2.5,糸,규,얽히다,キュウ,あざな(う)・ただ(す)
375,宮,8,宀,궁,왕궁,キュウ・グウ・ク,みや・いえ
376,救,6,攵,구,구하다,キュウ・グ・ク,すく(う)・たす(ける)
377,球,8,玉,구,공,キュウ,たま
378,給,7,糸,급,주다,キュウ,たま(う)・たまわ(る)
379,嗅,2,口,후,냄새 맡다,キュウ,か(ぐ)
380,窮,2.5,穴,궁,"끝까지 가다, 다하다",キュウ,きわ(める)・きわ(まる)
381,牛,9,牛,우,소리,ギュウ・ゴ,うし
382,去,8,厶,거,떠나다,キョ・コ,さ(る)・ゆ(く)・のぞ(く)
383,巨,4,工,거,크다,キョ・コ,おお(きい)・おお(い)
384,居,6,尸,거,"거주, 있다",キョ・コ,い(る)・お(る)・お(く)
385,拒,2.5,手,거,거절하다,キョ,こば(む)・ふせ(ぐ)
386,拠,4,手,거,근거,キョ・コ,よ(る)・よりどころ
387,挙,7,手,거,"오르다, 들다",キョ,あ(げる)・あ(がる)・こぞ(る)・こぞ(って)
388,虚,3,虍,허,"공허하다, 헛되다",キョ・コ,むな(しい)・うつ(ろ)・うろ・うつ(ける)
389,許,6,言,허,"용서하다, 허락하다",キョ・コ,ゆる(す)・ばか(り)・もと
390,距,4,足,거,거리,キョ,へだ(てる)・けづめ・ふせ(ぐ)
391,魚,9,魚,어,물고기,ギョ,うお・さかな
392,御,4,彳,어,높임말,ギョ・ゴ,おん・お・み・おさ(める)
393,漁,7,水,어,"어업, 찾아다니다",ギョ・リョウ,すなど(る)・あさ(る)・いさ(り)
394,凶,4,凵,흉,흉하다,キョウ,わざわ(い)・わる(い)・おそ(れる)
395,共,7,八,공,함께,キョウ,とも
396,叫,4,口,규,외치다,キョウ,さけ(ぶ)
397,狂,4,犬,광,미치다,キョウ,くる(う)・くる(おしい)・ふ(れる)
398,京,9,亠,경,서울,キョウ・ケイ・キン,みやこ
399,享,2.5,亠,향,누리다,キョウ,う(ける)・あ(たる)
400,供,5,人,공,바치다,キョウ・ク,そな(える)・とも
401,協,7,十,협,협력,キョウ,かな(う)
402,況,4,水,황,상황,キョウ,ありさま・いわ(んや)
403,峡,3,山,협,골짜기,キョウ,はざま
404,挟,2.5,手,협,끼다,キョウ,はさ(む)・はさ(まる)・さしはさ(む)
405,狭,4,犬,협,좁다,キョウ・コウ,せま(い)・せば(める)・せば(まる)・さ
406,恐,4,心,공,무섭다,キョウ,おそ(れる)・おそ(ろしい)・こわ(い)
407,恭,2.5,心,공,공손하다,キョウ,うやうや(しい)・つつし(む)
408,胸,5,肉,흉,가슴,キョウ,むね・むな・こころ
409,脅,3,肉,협,"위협하다, 협박하다, 겁내다",キョウ,おびや(かす)・おど(す)・おど(かす)・おび(える)
410,強,9,弓,강,"강하다, 강요하다",キョウ・コウ,つよ(い)・つよ(まる)・つよ(める)・し(いる)・こわ(い)・したた(か)・つと(める)
411,教,9,攵,교,"가르치다, 배우다",キョウ,おし(える)・おそ(わる)
412,郷,5,邑,향,시골,キョウ・ゴウ,さと
413,境,6,土,경,경계,キョウ・ケイ,さかい
414,橋,8,木,교,다리,キョウ,はし
415,矯,2.5,矢,교,바로잡다,キョウ,た(める)・いつわ(る)
416,鏡,7,金,경,거울,キョウ,かがみ
417,競,7,立,경,"다투다, 겨루다",キョウ・ケイ,きそ(う)・せ(る)・きお(う)・くら(べる)
418,響,4,音,향,울리다,キョウ,ひび(く)
419,驚,4,馬,경,놀라다,キョウ,おどろ(く)・おどろ(かす)
420,仰,4,人,앙,우러르다,ギョウ・コウ,あお(ぐ)・おお(せ)・あおの(く)・の(く)
421,暁,2.5,日,효,새벽,ギョウ,あかつき・さと(る)
422,業,8,木,업,"행위, 업",ギョウ・ゴウ,わざ
423,凝,3,冫,응,"굳다, 엉기다",ギョウ,こ(る)・こ(らす)・しこ(り)・こご(る)
424,曲,8,曰,곡,"굽다, 기울다",キョク,ま(がる)・ま(げる)・くま・くせ・まが・かね
425,局,8,尸,국,판,キョク,つぼね
426,極,7,木,극,극도,キョク・ゴク,きわ(める)・きわ(まる)・きわ(み)・き(める)・き(まる)
427,玉,10,玉,옥,구슬,ギョク,たま
428,巾,2,巾,건,수건,キン,きれ・ふきん
429,斤,3,斤,근,근,キン,おの
430,均,6,土,균,고르다,キン,ひと(しい)・なら(す)・ととの(える)
431,近,9,辵,근,가깝다,キン・コン,ちか(い)
432,金,10,金,"금, 김","금, 돈",キン・コン,かね・かな・こがね
433,菌,2.5,艸,균,세균,キン,きのこ・たけ
434,勤,5,力,근,근무하다,キン・ゴン,つと(める)・つと(まる)・いそ(しむ)
435,琴,2.5,玉,금,거문고,キン・ゴン,こと
436,筋,5,竹,근,근육,キン,すじ
437,僅,2,人,근,"겨우, 근소함",キン,わず(か)
438,禁,6,示,금,금지,キン,とど(める)・い(む)・いさ(める)
439,緊,3,糸,긴,"긴장, 팽팽하다",キン,かた(い)・し(める)・ちぢ(む)・きび(しい)
440,錦,2,金,금,비단,キン,にしき
441,謹,2.5,言,근,삼가다,キン,つつし(む)
442,襟,2.5,衣,금,옷깃,キン,えり・むね
443,吟,2.5,口,음,읊다,ギン,うた(う)・うめ(く)
444,銀,8,金,은,은,ギン,しろがね
445,区,8,匸,구,구역,ク,無し
446,句,6,口,구,글귀,ク・コウ,あ(たる)・ま(がる)
447,苦,8,艸,고,"괴롭다, 쓰다",ク,くる(しい)・くる(しむ)・くる(しめる)・にが(い)・にが(る)・にがな・はなは(だ)
448,駆,4,馬,구,"달리다, 쫓다, 몰다",ク,か(ける)・か(る)・お(う)
449,具,8,八,구,갖춤,グ,そな(わる)・そな(える)・つぶさ(に)・つま
450,惧,2,心,구,두려워하다,グ・ク,おそ(れる)
451,愚,3,心,우,어리석다,グ,おろ(か)
452,空,10,穴,공,"하늘, 비다, 비우다",クウ,そら・あ(く)・あ(ける)・から・うつ(ろ)・す(く)・うつ(ける)・むな(しい)・あな・うろ
453,偶,3,人,우,"짝, 어쩌다",グウ,たまたま・たぐい・ひとがた
454,遇,3,辵,우,만나다,グウ・グ,あ(う)・もてな(す)・たまたま
455,隅,2.5,阜,우,"모퉁이, 구석",グウ,すみ
456,串,2,丨,관,꼬챙이,セン・カン,くし・つらぬ(く)・な(れる)
457,屈,4,尸,굴,굽다,クツ,かが(む)・くぐ(まる)・こご(まる)
458,掘,4,手,굴,파다,クツ,ほ(る)
459,窟,2,穴,굴,굴,クツ,いわや・ほらあな
460,熊,7,火,웅,곰,ユウ,くま
461,繰,4,糸,조,"헤아리다, 되풀이하다",ソウ,く(る)
462,君,8,口,군,"너, 임금",クン,きみ
463,訓,7,言,훈,가르치다,クン・キン,おし(える)・よ(む)
464,勲,2.5,力,훈,공훈,クン,いさお・いさおし
465,薫,2.5,艸,훈,향기가 나다,クン,かお(る)・かおりぐさ・た(く)
466,軍,7,車,군,군사,グン・クン,いくさ・つわもの
467,郡,7,邑,군,고을,グン・クン,こおり
468,群,7,羊,군,"무리, 모이다",グン,む(れる)・む(れ)・むら
469,兄,9,儿,형,"형, 오빠",ケイ・キョウ,あに・え
470,刑,3,刀,형,형벌,ケイ・ギョウ,しおき
471,形,9,彡,형,모양,ケイ・ギョウ,かた・かたち・なり
472,系,5,糸,계,이어매다,ケイ,つな(ぐ)・すじ
473,径,7,彳,경,거리,ケイ,みち・こみち・さしわたし・ただ(ちに)
474,茎,2.5,艸,경,줄기,ケイ,くき・なかご
475,係,8,人,계,"관계, 관계되다",ケイ,かか(る)・かかり・かか(わる)・つな(ぐ)
476,型,6,土,형,"형식, 모형",ケイ,かた
477,契,3,大,계,맺다,ケイ・キツ・ケツ,ちぎ(る)・きざ(む)・わりふ
478,計,9,言,계,"세다, 상의하다",ケイ,はか(る)・はか(らう)・かぞ(える)
479,恵,4,心,혜,"베풀다, 타고나다",ケイ・エ,めぐ(む)
480,啓,3,口,계,열다,ケイ,ひら(く)・もう(す)
481,掲,3,手,게,"걸다, 매달다",ケイ,かか(げる)
482,渓,2.5,水,계,계곡,ケイ,たに
483,経,6,糸,경,"지나다, 거치다",ケイ・キョウ・キン,へ(る)・たていと・た(つ)・おさ(める)
484,蛍,2.5,虫,형,반딧불이,ケイ,ほたる
485,敬,5,攵,경,존경하다,ケイ・キョウ,うやま(う)・つつし(む)
486,景,7,日,경,풍경,ケイ・エイ,無し
487,軽,8,車,경,가볍다,ケイ・キン,かる(い)・かろ(やか)
488,傾,4,人,경,기울다,ケイ,かたむ(く)・かたむ(ける)・かし(ぐ)・かた(げる)・くつがえ(る)
489,携,3,手,휴,"휴대하다, 관여하다",ケイ,たずさ(える)・たずさ(わる)・はな(れる)
490,継,4,糸,계,잇다,ケイ,つ(ぐ)・まま
491,詣,2,言,예,참배하다,ケイ,もう(でる)・いた(る)・まい(る)
492,慶,2.5,心,경,경축,ケイ・キョウ,よろこ(ぶ)・よ(い)
493,憬,2,心,경,"깨닫다, 동경하다",ケイ,あこが(れる)
494,稽,2,禾,계,머무르다,ケイ,かんが(える)・とど(める)・とどこお(る)
495,憩,3,心,게,쉬다,ケイ,いこ(い)・いこ(う)
496,警,5,言,경,경계하다,ケイ・キョウ,いまし(める)
497,鶏,3,鳥,계,닭,ケイ,にわとり・とり
498,芸,7,艸,예,"재주, 예술",ゲイ,わざ・う(える)
499,迎,4,辵,영,맞이하다,ゲイ・ギョウ・ゴウ,むか(える)
500,鯨,3,魚,경,고래,ゲイ・ケイ,くじら
501,隙,2,阜,극,틈,ゲキ・ケキ,すき・ひま
502,劇,5,刀,극,연극,ゲキ,はげ(しい)
503,撃,4,手,격,"치다, 쏘다",ゲキ・ケキ,う(つ)
504,激,5,水,격,심하다,ゲキ,はげ(しい)・はげ(ます)
505,桁,2,木,형,자릿수,コウ,けた
506,欠,7,欠,결,부족하다,ケツ,か(ける)・か(く)
507,穴,5,穴,혈,구멍,ケツ,あな
508,血,8,血,혈,피,ケツ・ケチ,ち
509,決,8,水,결,정하다,ケツ,き(める)・き(まる)
510,結,7,糸,결,"묶다, 맺다, 엮다",ケツ・ケチ・ケイ,むす(ぶ)・ゆ(う)・ゆ(わえる)・す(く)
511,傑,2.5,人,걸,뛰어나다,ケツ,すぐ(れる)
512,潔,6,水,결,깨끗하다,ケツ,いさぎよ(い)・きよ(い)
513,月,10,月,월,달,ゲツ・ガツ,つき
514,犬,10,犬,견,개,ケン,いぬ
515,件,6,人,건,물건,ケン,くだり・くだん
516,見,10,見,"견, 현",보다,ケン・ゲン,み(る)・み(える)・み(せる)・まみ(える)・あらわ(れる)
517,券,5,刀,권,문서,ケン,てがた・わりふ
518,肩,4,肉,견,어깨,ケン,かた
519,建,7,廴,건,"세우다, 짓다",ケン・コン,た(てる)・た(つ)・くつがえ(す)
520,研,8,石,연,"연구, 갈다",ケン・ゲン,と(ぐ)・みが(く)
521,県,8,目,현,고을,ケン,あがた
522,倹,3,人,검,검소하다,ケン,つま(しい)・つづま(やか)
523,兼,4,八,겸,겸하다,ケン,か(ねる)・あわ(せる)
524,剣,4,刀,검,칼,ケン,つるぎ
525,拳,2,手,권,주먹,ケン・ゲン,こぶし
526,軒,4,車,헌,"처마, 집",ケン,のき・くるま・てすり・と(ぶ)・たか(い)
527,健,7,人,건,"건강, 건강하다",ケン,すこ(やか)・たけ(し)・したた(か)
528,険,6,阜,험,험하다,ケン,けわ(しい)
529,圏,4,囗,권,우리,ケン,かこ(い)
530,堅,4,土,견,단단하다,ケン,かた(い)
531,検,6,木,검,검사,ケン,しら(べる)・あらた(める)
532,嫌,2.5,女,혐,싫다,ケン・ゲン,きら(う)・いや・うたが(う)
533,献,2.5,犬,헌,드리다,ケン・コン,ささ(げる)・たてまつ(る)・まつ(る)
534,絹,5,糸,견,비단,ケン,きぬ
535,遣,4,辵,견,"고용하다, 파견하다",ケン,つか(う)・つか(わす)・や(る)
536,権,5,木,권,권리,ケン・ゴン,いきお(い)・おもり・はか(る)・かり
537,憲,5,心,헌,헌법,ケン,のり・のっと(る)
538,賢,3,貝,현,현명하다,ケン,かしこ(い)・さか(しい)・まさ(る)
539,謙,2.5,言,겸,겸손,ケン,へりくだ(る)
540,鍵,2,金,건,"열쇠, 자물쇠",ケン,かぎ
541,繭,2.5,糸,견,고치,ケン,まゆ
542,顕,2.5,頁,현,나타나다,ケン,あき(らか)・あらわ(れる)
543,験,7,馬,험,"시험, 경험",ケン・ゲン,しるし・あかし・ため(す)
544,懸,2.5,心,현,걸다,ケン・ケ,か(ける)・か(かる)・へだ(たる)
545,元,9,儿,원,"으뜸, 원래",ゲン・ガン,もと・はじ(め)
546,幻,3,幺,환,환상,ゲン,まぼろし・まど(わす)
547,玄,4,玄,현,검정,ゲン,くろ・くろ(い)
548,言,9,言,언,"말, 말하다",ゲン・ゴン,い(う)・こと・ことば
549,弦,2.5,弓,현,"활시위, 줄",ゲン,つる
550,限,6,阜,한,제한하다,ゲン,かぎ(る)・きり
551,原,9,厂,원,"언덕, 근원",ゲン,はら・もと・たず(ねる)・ゆる(す)
552,現,6,玉,현,나타나다,ゲン,あらわ(れる)・あらわ(す)・うつつ
553,舷,2,舟,현,뱃전,ゲン,ふなばた・ふなべり
554,減,6,水,감,"빼다, 줄다",ゲン,へ(る)・へ(らす)
555,源,5,水,원,근원,ゲン,みなもと
556,厳,5,ツ,엄,엄하다,ゲン・ゴン,おごそ(か)・きび(しい)・いかめ(しい)・いか(つい)
557,己,5,己,기,"나, 너",ユ・キ,おのれ・つちのと
558,戸,9,戸,호,문,コ,と・へ
559,古,9,口,고,"옛, 오래되다",コ,ふる(い)・ふる(す)・いにしえ
560,呼,5,口,호,부르다,コ,よ(ぶ)
561,固,7,囗,고,"단단하다, 굳다",コ,かた(める)・かた(まる)・かた(い)・もと(より)
562,股,2,肉,고,가랑이,コ,また・もも
563,虎,2,虍,호,호랑이,コ,とら
564,孤,3,子,고,외롭다,コ,みなしご・ひと(り)・そむ(く)
565,弧,3,弓,호,활,コ,きゆみ
566,故,6,攵,고,"까닭, 이유, 사정, 그러므로",コ,ゆえ・ふる(い)・もと・ことさら(に)
567,枯,4,木,고,시들다,コ,か(れる)・か(らす)・から(びる)
568,個,6,人,개,낱,コ・カ,無し
569,庫,8,广,고,곳집,コ・ク,くら
570,湖,8,水,호,호수,コ,みずうみ
571,雇,3,隹,고,고용하다,コ,やと(う)
572,誇,4,言,과,자랑하다,コ,ほこ(る)
573,鼓,4,鼓,고,"타악기, 울리다",コ,つづみ
574,錮,2,金,고,막다,コ,ふさ(ぐ)・かた(い)・ながわずら(い)
575,顧,3,頁,고,뒤돌아보다,コ,かえり(みる)
576,五,10,二,오,"5, 다섯",ゴ,いつ・いつ(つ)
577,互,4,二,호,서로,ゴ,たが(い)・かたみ(に)
578,午,9,十,오,낮,ゴ,うま・ひる
579,呉,2.5,口,오,주다,ゴ,くれ・く(れる)
580,後,9,彳,후,뒤,ゴ・コウ,のち・うし(ろ)・あと・おく(れる)・しり
581,娯,3,女,오,즐기다,ゴ,たの(しむ)
582,悟,3,心,오,깨닫다,ゴ,さと(る)
583,碁,2.5,石,기,바둑,ゴ・キ,無し
584,語,9,言,어,말하다,ゴ・ギョ,かた(る)・かた(らう)・ことば・つ(げる)
585,誤,5,言,오,틀리다,ゴ,あやま(る)・まど(わす)
586,護,6,言,호,도움,ゴ,まも(る)・まも(り)
587,口,10,口,구,입,コウ・ク,くち
588,工,9,工,공,장인,コウ・ク,たくみ・たく(む)・わざ
589,公,9,八,공,공평,コウ・ク,おおやけ・きみ
590,勾,2,勹,구,굽다,コウ,ま(がる)・とら(える)
591,孔,3,子,공,구멍,コウ・ク,あな・はなは(だ)
592,功,7,力,공,공적,コウ・ク,いさお
593,巧,3,工,교,계략,コウ,たく(み)・たく(む)・うま(い)
594,広,9,广,광,넓다,コウ,ひろ(い)・ひろ(まる)・ひろ(める)・ひろ(がる)・ひろ(げる)
595,甲,3,田,갑,"갑, 투구",コウ・カン,つめ・きのえ・よろい・かぶと
596,交,9,亠,교,"사귀다, 섞다, 주고받다",コウ,まじ(わる)・まじ(える)・ま(じる)・ま(ざる)・ま(ぜる)・か(う)・か(わす)・こもごも
597,光,9,儿,광,"빛, 빛나다",コウ,ひか(る)・ひかり
598,向,8,口,향,향하다,コウ・キョウ,む(く)・む(ける)・む(かう)・む(こう)・さき(に)
599,后,5,口,후,임금,コウ・ゴ,のち・きさき・きみ
600,好,7,女,호,좋아하다,コウ,この(む)・す(く)・よ(い)・よしみ
601,江,2.5,水,강,강,コウ,え
602,考,9,耂,고,생각하다,コウ,かんが(える)
603,行,9,行,"행, 항","가다, 실시하다",コウ・ギョウ・アン,い(く)・ゆ(く)・おこな(う)・や(る)・みち
604,坑,3,土,갱,구덩이,コウ,あな
605,孝,5,子,효,효도,コウ・キョウ,無し
606,抗,4,手,항,저항,コウ,あらが(う)・はりあ(う)・ふせ(ぐ)・こば(む)
607,攻,4,攵,공,공격하다,コウ,せ(める)・みが(く)・おさ(める)
608,更,4,曰,"경, 갱","더욱, 깊어지다, 고치다",コウ,さら・ふ(ける)・ふ(かす)・か(える)・あらた(める)
609,効,6,力,효,효과,コウ,き(く)・かい・いた(す)・なら(う)
610,幸,8,干,행,"행복, 다행",コウ,さいわ(い)・さち・しあわ(せ)・みゆき
611,拘,3,手,구,구속,コウ,とら(える)・とど(める)・かか(わる)・こだわ(る)
612,肯,2.5,肉,긍,긍정,コウ,うなず(く)・がえん(じる)・うべな(う)・あ(えて)
613,侯,2.5,人,후,제후,コウ,まと・きみ
614,厚,6,厂,후,"두껍다, 뻔뻔하다",コウ,あつ(い)
615,恒,4,心,항,항상,コウ,つね・つね(に)
616,洪,2.5,水,홍,"넓다, 넘치다",コウ,おおみず
617,皇,5,白,황,임금,コウ・オウ,きみ・すめらぎ
618,紅,5,糸,홍,빨강,コウ・ク・グ,べに・くれない・あか(い)・もみ
619,荒,4,艸,황,"거칠다, 망치다",コウ,あら(い)・あ(れる)・あ(らす)・すさ(む)・すさ(ぶ)
620,郊,3,邑,교,변두리,コウ,無し
621,香,7,香,향,"향기, 향기나다",コウ・キョウ,か・かお(り)・かお(る)・かんば(しい)
622,候,7,人,후,"후보, 기후",コウ,そうろう・うかが(う)・ま(つ)・さぶら(う)
623,校,10,木,교,학교,コウ・キョウ,くら(べる)・かんが(える)・かせ・あぜ
624,耕,6,耒,경,"갈다, 일구다",コウ,たがや(す)
625,航,6,舟,항,배,コウ,わた(る)
626,貢,2.5,貝,공,바치다,コウ・ク,みつ(ぐ)
627,降,5,阜,"강, 항",내리다,コウ・ゴウ,お(りる)・お(ろす)・ふ(る)・くだ(る)・くだ(す)
628,高,9,高,고,"높다, 비싸다",コウ,たか(い)・たか・たか(まる)・たか(める)
629,康,7,广,강,건강,コウ,やす(い)
630,控,3,手,공,대기하다,コウ,ひか(える)・のぞ(く)・つ(げる)
631,梗,2,木,경,줄기,コウ・キョウ,おおむ(ね)・ふさ(がる)・かた(い)・つよ(い)・でく
632,黄,9,黄,황,노랑,コウ・オウ,き・こ
633,喉,2,口,후,목구멍,コウ,のど
634,慌,3,心,황,당황하다,コウ,あわ(てる)・あわ(ただしい)
635,港,8,水,항,항구,コウ,みなと
636,硬,3,石,경,단단하다,コウ,かた(い)
637,絞,3,糸,교,"짜다, 조르다, 죄이다",コウ,しぼ(る)・し(める)・し(まる)・くび(る)
638,項,4,頁,항,항목,コウ,うなじ
639,溝,2.5,水,구,도랑,コウ,みぞ・どぶ
640,鉱,6,金,광,광물,コウ,あらがね
641,構,6,木,구,"상관하다, 준비하다",コウ,かま(える)・かま(う)
642,綱,3,糸,강,밧줄,コウ,つな
643,酵,3,酉,효,삭히다,コウ,もと・こうじ
644,稿,4,禾,고,원고,コウ,したがき・わら
645,興,6,臼,흥,흥하다,コウ・キョウ,おこ(る)・おこ(す)
646,衡,2.5,行,형,저울,コウ,はかり・はか(る)・くびき
647,鋼,5,金,강,강철,コウ,はがね
648,講,6,言,강,강의,コウ,無し
649,購,2.5,貝,구,사다,コウ,あがな(う)
650,乞,2,乙,걸,바라다,キツ・コツ,こ(う)
651,号,8,口,호,호칭,ゴウ,さけ(ぶ)・よびな
652,合,9,口,합,"맞다, 합치다",ゴウ・ガッ・カッ・コウ,あ(う)・あ(わす)・あ(わせる)
653,拷,2.5,手,고,고문하다,ゴウ・コウ,う(つ)
654,剛,2.5,刀,강,굳세다,ゴウ・コウ,つよ(い)・かた(い)
655,傲,2,人,오,오만하다,ゴウ,おご(る)・あなど(る)・あそ(ぶ)
656,豪,4,豕,호,호걸,ゴウ・コウ,つよ(い)・えら(い)
657,克,3,儿,극,극복하다,コク,か(つ)・よ(く)
658,告,6,口,고,알리다,コク,つ(げる)
659,谷,9,谷,곡,골짜기,コク・ロク,たに・きわ(まる)・や
660,刻,5,刀,각,새기다,コク,きざ(む)・とき
661,国,9,囗,국,나라,コク,くに
662,黒,9,黒,흑,검정,コク,くろ・くろ(い)
663,穀,5,禾,곡,곡식,コク,無し
664,酷,2.5,酉,혹,심하다,コク,きび(しい)・むご(い)・はなは(だしい)
665,獄,3,犬,옥,감옥,ゴク,ひとや・うった(える)
666,骨,5,骨,골,뼈,コツ,ほね
667,駒,2,馬,구,망아지,ク,こま
668,込,4,辵,입,"담다, 채우다, 붐비다",無し,こ(む)・こ(める)
669,頃,2,頁,경,무렵,ケイ・キョウ,ころ・しばら(く)・かたあし
670,今,9,人,금,지금,コン・キン,いま
671,困,5,囗,곤,곤란하다,コン,こま(る)・くる(しむ)
672,昆,2.5,日,곤,곤충,コン,あに
673,恨,3,心,한,원망하다,コン,うら(む)・うら(めしい)
674,根,8,木,근,뿌리,コン,ね
675,婚,4,女,혼,결혼,コン,無し
676,混,6,水,혼,"섞다, 붐비다",コン,ま(じる)・ま(ざる)・ま(ぜる)・こ(む)
677,痕,2,疒,흔,흔적,コン,あと
678,紺,3,糸,감,감색,コン,無し
679,魂,3,鬼,혼,영혼,コン,たましい・たま
680,墾,3,土,간,개간하다,コン,ひら(く)
681,懇,2.5,心,간,"간절, 공손함",コン,ねんご(ろ)
682,左,10,工,좌,왼쪽,サ,ひだり
683,佐,7,人,좌,보좌,サ,すけ・たす(ける)
684,沙,2,水,사,모래,サ・シャ,すな・みぎわ・よな(げる)
685,査,6,木,사,조사,サ,しら(べる)
686,砂,5,石,사,모래,サ・シャ,すな・いさご
687,唆,2.5,口,사,부추기다,サ,そそのか(す)
688,差,7,工,차,"다름, 비치다, 쓰다, 끼우다, 받치다",サ・シ,さ(す)・たが(う)・つか(わす)
689,詐,2.5,言,사,속이다,サ,いつわ(る)
690,鎖,4,金,쇄,사슬,サ,くさり・とざ(す)・さ(す)
691,座,5,广,좌,"자리, 앉다",ザ,すわ(る)・いま(す)
692,挫,2,手,좌,"꺾이다, 삐다",ザ,くじ(く)・くじ(ける)
693,才,9,手,재,재주,サイ,ざえ・かど
694,再,6,冂,재,다시,サイ・サ,ふたた(び)
695,災,6,火,재,재앙,サイ,わざわ(い)
696,妻,6,女,처,아내,サイ・セイ,つま・めあ(わす)
697,采,2,釆,채,"주사위, 풍채",サイ,と(る)・いろどり・すがた・うね
698,砕,2.5,石,쇄,"부수다, 깨지다",サイ,くだ(く)・くだ(ける)
699,宰,2.5,宀,재,재상,サイ,つかさど(る)
700,栽,2.5,木,재,심다,サイ,う(える)
701,彩,4,彡,채,색칠하다,サイ,いろど(る)・あや
702,採,6,手,채,"뽑다, 채용하다",サイ,と(る)
703,済,5,水,제,끝나다,サイ・セイ,す(む)・す(ます)・すく(う)・な(す)・わた(る)・わた(す)
704,祭,8,示,제,축제,サイ,まつ(る)・まつ(り)
705,斎,2.5,斉,재,"재계, 집",サイ,ものいみ・つつし(む)・いつ(く)・とき
706,細,9,糸,세,"가늘다, 세세하다",サイ,ほそ(い)・ほそ(る)・こま(か)・こま(かい)・ささ(やか)・くわ(しい)
707,菜,7,艸,채,"채소, 야채",サイ,な
708,最,7,曰,최,가장,サイ,もっと(も)・も
709,裁,5,衣,재,"재단하다, 재판하다",サイ,た(つ)・さば(く)
710,債,3,人,채,빚,サイ,か(り)・か(し)
711,催,3,人,최,"불러 일으키다, 개최하다",サイ,もよお(す)・もよ(い)・うなが(す)
712,塞,2,土,색,막다,サイ・ソク,ふさ(ぐ)・ふさ(がる)・せ(く)・とりで・み(ちる)
713,歳,4,止,세,"나이, 해",サイ・セイ,とし・とせ・よわい
714,載,4,車,재,"놓다, 싣다",サイ,の(せる)・の(る)・しる(す)・とし
715,際,6,阜,제,"가장자리, 직전",サイ,きわ・まじ(わる)・あい
716,埼,7,土,기,곶,キ,さい・さき
717,在,6,土,재,있다,ザイ,あ(る)・ましま(す)・いま(す)
718,材,7,木,재,재료,ザイ・サイ,まるた
719,剤,4,刀,제,약제,ザイ・セイ,ま(ぜる)
720,財,6,貝,재,재물,ザイ・サイ,たから
721,罪,6,网,죄,죄,ザイ,つみ
722,崎,7,山,기,곶,キ,さき
723,作,9,人,작,만들다,サク・サ,つく(る)・な(す)
724,削,3,刀,삭,깎다,サク,けず(る)・そ(ぐ)・はつ(る)
725,昨,7,日,작,어제,サク,きのう
726,柵,2,木,책,울타리,サク,やらい・しがらみ・とりで
