순번,한자,급수,부수,음,훈,音,訓
727,索,2.5,糸,색,찾다,サク,なわ・つな・もと(める)・さが(す)
728,策,5,竹,책,꾀,サク,はかりごと・むち・つえ・ふだ
729,酢,2.5,酉,초,식초,サク・ソ,す・す(い)
730,搾,3,手,착,"짜내다, 착취하다",サク,しぼ(る)
731,錯,3,金,착,어긋나다,サク・ソ,ま(じる)・あやま(る)・お(く)
732,咲,4,口,소,꽃 피다,ショウ,さ(く)
733,冊,5,冂,책,책,サツ・サク,ふみ・た(てる)
734,札,7,木,찰,표,サツ,ふだ・さね・わかじに
735,刷,7,刀,쇄,인쇄하다,サツ,す(る)・は(く)
736,刹,2,刀,찰,찰,サツ・セツ,てら
737,拶,2,手,찰,인사하다,サツ,せま(る)
738,殺,6,殳,살,죽이다,サツ・サイ・セツ,ころ(す)・そ(ぐ)・そ(げる)・けず(る)
739,察,7,宀,찰,살핌,サツ,あき(らか)・み(る)・し(る)
740,撮,3,手,촬,사진 찍다,サツ,と(る)・つま(む)
741,擦,3,手,찰,"문지르다, 스치다",サツ,す(る)・す(れる)・こす(る)・かす(れる)・さす(る)・なす(る)
742,雑,6,隹,잡,섞이다,ザツ・ゾウ,ま(じる)・ま(ぜる)
743,皿,8,皿,명,접시,ベイ,さら
744,三,10,一,삼,"3, 셋",サン,み・み(つ)・み(っつ)
745,山,10,山,산,산,サン・セン,やま
746,参,7,厶,"참, 삼","참여하다, 가다, 오다, 곤란하다, 3",サン・シン,まい(る)・まじ(わる)
747,桟,2.5,木,잔,사다리,サン,かけはし・たな
748,蚕,5,虫,잠,누에,サン,かいこ・こ
749,惨,4,心,참,비참하다,サン・ザン,みじ(め)・いた(む)・いた(ましい)・むご(い)
750,産,7,生,산,"낳다, 태어나다",サン,う(む)・う(まれる)・うぶ
751,傘,2.5,人,산,우산,サン,かさ
752,散,7,攵,산,"흩어지다, 떨어지다",サン,ち(る)・ち(らす)・ち(らかす)・ち(らかる)・ばら
753,算,9,竹,산,셈,サン,かぞ(える)・かず
754,酸,6,酉,산,시다,サン,す(い)・す・つら(い)
755,賛,6,貝,찬,찬성,サン,たす(ける)・ほ(める)・たた(える)
756,残,7,歹,잔,남다,ザン,のこ(る)・のこ(す)・そこ(なう)
757,斬,2,斤,참,베다,ザン・サン,き(る)
758,暫,3,日,잠,잠깐,ザン,しばら(く)・しば(し)
759,士,6,士,사,선비,シ,さむらい
760,子,10,子,자,"아들, 아이",シ・ス,こ・み・おとこ・ね
761,支,6,支,지,"버티다, 떠받치다",シ,ささ(える)・つか(える)・か(う)
762,止,9,止,지,"멈추다, 세우다",シ,と(まる)・と(める)・とど(まる)・とど(める)・や(める)・や(む)・よ(す)・さ(す)
763,氏,7,氏,씨,"성, 씨",シ,うじ
764,仕,8,人,사,섬기다,シ・ジ,つか(える)・つかまつ(る)
765,史,6,口,사,역사,シ,ふみ
766,司,7,口,사,맡다,シ・ス,つかさ・つかさど(る)
767,四,10,囗,사,"4, 넷",シ,よ・よ(つ)・よっ(つ)・よん
768,市,9,巾,시,도시,シ,いち
769,矢,9,矢,시,화살,シ,や
770,旨,4,日,지,"취지, 맛있다",シ,むね・うま(い)
771,死,8,歹,사,죽다,シ,し(ぬ)
772,糸,10,糸,사,실,シ,いと
773,至,5,至,지,이르다,シ,いた(る)
774,伺,4,人,사,여쭙다,シ,うかが(う)
775,志,6,心,지,뜻,シ,こころざ(す)・こころざし・しる(す)
776,私,5,禾,사,나,シ,わたくし・わたし・ひそ(か)
777,使,8,人,사,사용하다,シ,つか(う)・つか(わす)
778,刺,4,刀,자,찌르다,シ・セキ,さ(す)・さ(さる)・そし(る)・とげ・なふだ
779,始,8,女,시,시작하다,シ,はじ(める)・はじ(まる)
780,姉,9,女,자,"누나, 언니",シ,あね
781,枝,6,木,지,가지,シ,えだ
782,祉,3,示,지,복,シ,さいわ(い)
783,肢,2.5,肉,지,팔다리,シ,てあし
784,姿,5,女,자,모습,シ,すがた
785,思,9,心,사,생각하다,シン,おも(う)・おぼ(しい)
786,指,8,手,지,"손가락, 가리키다",シ,ゆび・さ(す)
787,施,3,方,시,베풀다,シ・セ,ほどこ(す)・し(く)
788,師,6,巾,사,스승,シ,みやこ・いくさ
789,恣,2,心,자,방자하다,シ,ほしいまま
790,紙,9,糸,지,종이,シ,かみ
791,脂,4,肉,지,기름,シ,あぶら・やに・べに
792,視,5,見,시,보다,シ,み(る)
793,紫,4,糸,자,보라,シ,むらさき
794,詞,5,言,사,말,シ,ことば
795,歯,8,歯,치,이,シ,は・よわい
796,嗣,2.5,口,사,잇다,シ,つ(ぐ)
797,試,7,言,시,"시험하다, 시도하다",シ,こころ(みる)・ため(す)
798,詩,8,言,시,시,シ,うた
799,資,6,貝,자,재물,シ,たから・もと・たす(ける)・たち
800,飼,6,食,사,기르다,シ,か(う)・やしな(う)
801,誌,5,言,지,기록,シ,しる(す)
802,雌,4,隹,자,암컷,シ,め・めす・めん
803,摯,2,手,지,잡다,シ,まこと・と(る)・にえ・あら(い)
804,賜,2.5,貝,사,주시다,シ,たまわ(る)・たま(う)・たまもの
805,諮,3,言,자,자문하다,シ,はか(る)・と(う)
806,示,6,示,시,"보이다, 가리키다",ジ・シ,しめ(す)
807,字,10,子,자,글자,ジ,あざ・あざな
808,寺,9,寸,사,절,ジ,てら
809,次,8,欠,차,"다음, 잇다",ジ・シ,つ(ぐ)・つぎ・つい(ず)・やど(る)
810,耳,10,耳,이,귀,ジ,みみ・のみ
811,自,9,自,자,"스스로, 저절로",ジ・シ,みずか(ら)・おのずか(ら)・よ(り)
812,似,6,人,사,"닮다, 어울리다",ジ・シ,に(る)・ごと(し)
813,児,7,儿,아,아이,ジ・ニ,こ
814,事,8,亅,사,일,ジ・ズ,こと・つか(える)
815,侍,3,人,시,"무사, 모시다",ジ・シ,さむらい・はべ(る)・さぶら(う)
816,治,7,水,치,"다스리다, 고치다, 낫다",ジ・チ,おさ(める)・おさ(まる)・なお(る)・なお(す)
817,持,8,手,지,"가지다, 버티다",ジ・チ,も(つ)
818,時,9,日,시,"때, 시간",ジ,とき
819,滋,7,水,자,불다,ジ・シ,し(げる)・ま(す)
820,慈,3,心,자,사랑하다,ジ,いつく(しむ)
821,辞,7,辛,사,"말씀, 그만두다",ジ,や(める)・ことば・ことわる
822,磁,5,石,자,자석,ジ・シ,やきもの
823,餌,2,食,이,"먹이, 사료, 미끼",ジ,えさ・え・たべもの・く(う)
824,璽,2.5,玉,새,옥새,ジ,しるし
825,鹿,7,鹿,록,사슴,ロク,しか・か
826,式,8,弋,식,법,シキ・ショク,のり・のっと(る)
827,識,6,言,식,알다,シキ・シ・ショク,し(る)・しる(す)
828,軸,3,車,축,축,ジク・チク,しんぎ
829,七,10,一,칠,"7, 일곱",シチ・シツ,なな・なな(つ)・なの
830,𠮟,2,口,질,꾸짖다,シツ・シチ,しか(る)
831,失,7,大,실,잃다,シツ,うしな(う)・う(せる)
832,室,9,宀,실,방,シツ,むろ・へや・つま・いえ
833,疾,3,疒,질,"질병, 벌써, 빨리",シツ,やまい・や(む)・やま(しい)・にく(む)・はや(い)・と(し)・と(く)
834,執,4,土,집,쥐다,シツ・シュウ,と(る)・とら(える)
835,湿,3,水,습,"습하다, 적시다",シツ,しめ(る)・しめ(す)・うるお(い)・うるお(す)
836,嫉,2,女,질,"질투, 시샘하다",シツ,ねた(む)・そね(む)・にく(む)
837,漆,2.5,水,칠,"옻, 7",シツ,うるし
838,質,6,貝,질,바탕,シツ・シチ・チ・シ,もと・たち・ただ(す)
839,実,8,宀,실,열매,ジツ,み・みの(る)・み(ちる)・まこと・さね・まめ
840,芝,4,艸,지,잔디,シ,しば
841,写,8,冖,사,"베끼다, 찍다",シャ,うつ(す)・うつ(る)
842,社,9,示,사,"모이다, 신사",シャ・ジャ,やしろ
843,車,10,車,차,자동차,シャ,くるま
844,舎,6,舌,사,집,シャ・セキ,いえ・やど・やど(る)・お(く)
845,者,8,耂,자,사람,シャ,もの
846,射,5,寸,사,쏘다,シャ・セキ・ヤ,い(る)・う(つ)・さ(す)・あ(てる)
847,捨,5,手,사,버리다,シャ,す(てる)・ほどこ(す)
848,赦,3,赤,사,용서하다,シャ,ゆる(す)
849,斜,4,斗,사,비스듬함,シャ,なな(め)・はす
850,煮,4,火,자,"삶다, 끓이다",シャ,に(る)・に(える)・に(やす)
851,遮,2.5,辵,차,차단하다,シャ,さえぎ(る)
852,謝,6,言,사,사과하다,シャ,あやま(る)・ことわ(る)・さ(る)
853,邪,3,邑,사,간사하다,ジャ・シャ・ヤ,よこしま
854,蛇,2.5,虫,사,뱀,ジャ・ダ・タ・イ,へび
855,尺,5,尸,척,척도,シャク・セキ,さし・ものさし・わず(か)
856,借,7,人,차,빌리다,シャク・シャ,か(りる)
857,酌,2.5,酉,작,술 마시다,シャク,く(む)
858,釈,4,釆,석,풀다,シャク・セキ,と(く)・ゆる(す)・と(かす)・お(く)
859,爵,2.5,爪,작,벼슬,シャク,さかずき
860,若,5,艸,약,"젊다, 혹은",ジャク・ニャク・ニャ,わか(い)・も(しくは)・し(く)・ごと(し)・も(し)・なんじ
861,弱,9,弓,약,약하다,ジャク・ニャク,よわ(い)・よわ(る)・よわ(まる)・よわ(める)
862,寂,4,宀,적,쓸쓸하다,ジャク・セキ,さび・さび(しい)・さび(れる)・さ(びる)・しず(か)
863,手,10,手,수,손,シュ・ズ,て・た
864,主,8,丶,주,주인,シュ・ス,ぬし・おも・あるじ・つかさど(る)
865,守,8,宀,수,지키다,シュ・ス,まも(る)・も(り)・かみ
866,朱,4,木,주,빨강,シュ・ス,あか・あけ
867,取,8,又,취,잡다,シュ,と(る)
868,狩,4,犬,수,사냥하다,シュ,か(る)・か(り)
869,首,9,首,수,목,シュ,くび・こうべ・かしら・はじ(め)・もう(す)
870,殊,3,歹,수,특히,シュ,こと
871,珠,2.5,玉,주,구슬,シュ,たま
872,酒,8,酉,주,술,シュ,さけ・さか
873,腫,2,肉,종,"종기, 붓다",シュ・ショウ,は(れる)・は(らす)・はれもの
874,種,7,禾,종,"씨앗, 종류",シュ・ショウ,たね・う(える)・くさ
875,趣,4,走,취,"뜻, 멋, 느낌, 취향",シュ・ソク,おもむき・おもむ(く)・うなが(す)
876,寿,3,寸,수,"목숨, 축하하다",ジュ・ス,ことぶき・ことほ(ぐ)・とし・ひさ(しい)
877,受,8,又,수,"받다, 붙다",ジュ・ズ,う(ける)・う(かる)
878,呪,2,口,주,저주하다,ジュ・シュウ,のろ(う)・まじな(う)・まじな(い)
879,授,6,手,수,주다,ジュ,さず(ける)・さず(かる)
880,需,4,雨,수,쓰다,ジュ,もと(める)
881,儒,2.5,人,유,선비,ジュ,無し
882,樹,5,木,수,나무,ジュ・キ,き・う(える)・た(てる)
883,収,5,又,수,"넣다, 거두다, 수습되다",シュウ,おさ(める)・おさ(まる)
884,囚,2.5,囗,수,가두다,シュウ,とら(える)・とら(われる)
885,州,8,川,주,고을,シュウ・ス,す・しま・くに
886,舟,4,舟,주,배,シュウ・シュ,ふね・ふな
887,秀,4,禾,수,뛰어나다,シュウ,ひい(でる)
888,周,7,口,주,주위,シュウ・ス,まわ(り)・めぐ(る)・あまね(く)
889,宗,5,宀,종,종교,シュウ・ソウ,むね
890,拾,8,手,"습, 십","줍다, 10",シュウ・ジュウ,ひろ(う)・とお
891,秋,9,禾,추,가을,シュウ,あき・とき
892,臭,2.5,自,취,냄새,シュウ・キュウ,くさ(い)・にお(う)
893,修,6,人,수,"닦다, 좋아지다",シュウ・シュ,おさ(める)・おさ(まる)・かざ(る)・なが(い)
894,袖,2,衣,수,소매,シュウ,そで
895,終,8,糸,종,끝나다,シュウ,お(わる)・お(える)・しま(う)・つい(に)
896,羞,2,羊,수,부끄럽다,シュウ,は(じる)・はずかし(める)・はじ・はずかし(め)・すす(める)
897,習,8,羽,습,배우다,シュウ・ジュウ,なら(う)
898,週,9,辵,주,"주, 7일",シュウ,めぐ(る)
899,就,5,尢,취,취임하다,シュウ・ジュ,つ(く)・つ(ける)・な(る)・な(す)
900,衆,5,血,중,무리,シュウ・シュ,おお(い)
901,集,8,隹,집,모이다,シュウ,あつ(まる)・あつ(める)・つど(う)・すだ(く)・たか(る)
902,愁,2.5,心,수,"상심하다, 걱정하다",シュウ,うれ(える)・うれ(い)
903,酬,2.5,酉,수,갚다,シュウ,むく(いる)
904,醜,2.5,酉,추,추하다,シュウ,みにく(い)・にく(む)・たぐい・しこ
905,蹴,2,足,축,차다,シュウ・シュク,け(る)
906,襲,4,衣,습,"덮치다, 습격하다",シュウ,おそ(う)・つ(ぐ)・かさ(ねる)・かさね
907,十,10,十,십,"10, 열",ジュウ・ジッ,とお・と
908,汁,2.5,水,즙,즙,ジュウ・シュウ,しる・つゆ
909,充,2.5,儿,충,"충당하다, 가득 차다",ジュウ・シュウ,あ(てる)・み(ちる)・み(たす)・み(つ)
910,住,8,人,주,살다,ジュウ,す(む)・す(まう)・とど(まる)
911,柔,4,木,유,부드럽다,ジョウ・ニュウ,やわ(らか)・やわ(らかい)・やさ(しい)・やわ(らげる)
912,重,8,里,중,"무겁다, 겹치다",ジュウ・チョウ,え・おも(い)・かさ(ねる)・かさ(なる)
913,従,5,彳,종,따르다,ジュウ・ショウ・ジュ,したが(う)・したが(える)
914,渋,2.5,水,삽,"떫다, 원활하지 않다",ジュウ・シュウ,しぶ・しぶ(い)・しぶ(る)
915,銃,2.5,金,총,총,ジュウ,つつ
916,獣,4,犬,수,짐승,ジュウ,けもの・けだもの・しし
917,縦,5,糸,종,세로,ジュウ・ショウ,たて・はな(つ)・ゆる(す)・ゆる(める)・ほしいまま・よし(んば)
918,叔,2.5,又,숙,아재비,シュク,わか(い)
919,祝,7,示,축,축하하다,シュク・シュウ,いわ(う)・た(つ)・の(る)・のろ(う)
920,宿,8,宀,숙,"숙소, 머물다, 품다",シュク・スク,やど・やど(る)・やど(す)
921,淑,2.5,水,숙,정숙하다,シュク,しと(やか)・よ(い)
922,粛,2.5,聿,숙,엄숙,シュク,つつし(む)
923,縮,5,糸,축,"줄다, 오그라들다",シュク,ちぢ(む)・ちぢ(まる)・ちぢ(める)・ちぢ(れる)・ちぢ(らす)
924,塾,2.5,土,숙,기숙사,ジュク,無し
925,熟,5,火,숙,"익다, 숙성하다",ジュク,う(れる)・う(む)・に(る)・に(える)・な(れる)・つらつら・つくづく・こな(す)・こな(れる)
926,出,10,凵,출,"나가다, 꺼내다",シュツ・スイ,で(る)・だ(す)・いだ(す)・い(づ)
927,述,6,辵,술,말하다,ジュツ,の(べる)
928,術,6,行,술,재주,ジュツ・シュツ・スイ,わざ・すべ
929,俊,2.5,人,준,우수하다,シュン,すぐ(れる)
930,春,9,日,춘,봄,シュン,はる
931,瞬,4,目,순,"반짝, 깜박이다",シュン,またた(く)・まばた(く)・まじろ(ぐ)・しばた(く)・しばたた(く)
932,旬,4,日,순,열흘,ジュン・シュン,無し
933,巡,4,川,순,돌다,ジュン,めぐ(る)・まわ(る)
934,盾,4,目,순,방패,ジュン,たて
935,准,2.5,冫,준,준하다,ジュン・シュン,なぞら(える)・ゆる(す)
936,殉,2.5,歹,순,죽다,ジュン,したが(う)
937,純,5,糸,순,순수,ジュン,きいと
938,循,2.5,彳,순,돌다,ジュン,したが(う)・めぐ(る)
939,順,7,頁,순,순번,ジュン,したが(う)・すなお
940,準,6,水,준,준하다,ジュン・シュン・セツ,なぞら(える)
941,潤,3,水,윤,축축해지다,ジュン,うるお(う)・うるお(す)・うる(む)・ほと(びる)
942,遵,3,辵,준,따라가다,ジュン・シュン,したが(う)
943,処,5,几,처,처치,ショ・ソ,ところ・お(る)・お(く)
944,初,7,刀,초,처음,ショ・ソ,はじ(め)・はじ(めて)・はつ・うい・そ(める)・うぶ
945,所,8,戸,소,장소,ショ・ソ,ところ
946,書,9,曰,서,"글, 쓰다",ショ,か(く)・ふみ
947,庶,2.5,广,서,여러,ショ,もろもろ・おお(い)・こいねが(う)
948,暑,8,日,서,덥다,ショ,あつ(い)
949,署,5,网,서,부서,ショ,やくわり・しる(す)
950,緒,2.5,糸,서,"줄, 끈, 실",ショ・チョ,お・いとぐち
951,諸,5,言,제,모두,ショ,もろ・もろもろ
952,女,10,女,녀,여자,ジョ・ニョ・ニョウ,おんな・め・むすめ・めあ(わせる)・なんじ
953,如,3,女,여,같다,ジョ・ニョ,し(く)・ごと(し)・ゆ(く)・も(し)
954,助,8,力,조,"돕다, 살아나다",ジョ,たす(ける)・たす(かる)・すけ
955,序,6,广,서,차례,ジョ,つい(で)・はしがき・まなびや
956,叙,2.5,又,서,서술하다,ジョ,の(べる)
957,徐,3,彳,서,서서히,ジョ,おもむろ
958,除,5,阜,제,제외하다,ジョ・ジ,のぞ(く)・はら(う)・の(ける)・よ(ける)・つ(きる)
959,小,10,小,소,작다,ショウ,ちい(さい)・こ・お・さ
960,升,2.5,十,승,되,ショウ,ます・のぼ(る)
961,少,9,小,소,"적다, 조금",ショウ,すく(ない)・すこ(し)・わか(い)・しばら(く)・まれ
962,召,4,口,소,불러들이다,ショウ,め(す)
963,匠,3,匚,장,장인,ショウ,たくみ
964,床,4,广,상,마루,ショウ,とこ・ゆか
965,抄,2.5,手,초,뽑다,ショウ・ソウ,うつ(す)・す(く)・すく(う)・かすめ(る)
966,肖,2.5,肉,초,닮다,ショウ,に(る)・あやか(る)・かたど(る)
967,尚,2.5,小,상,"더욱, 또한",ショウ,なお・たっと(ぶ)・とうと(ぶ)・くわ(える)
968,招,6,手,초,초대하다,ショウ,まね(く)
969,承,5,手,승,"듣다, 받다",ショウ,うけたまわ(る)・う(ける)
970,昇,3,日,승,오르다,ショウ,のぼ(る)
971,松,7,木,송,소나무,ショウ,まつ
972,沼,4,水,소,늪,ショウ,ぬま
973,昭,8,日,소,"밝다, 일본 연호",ショウ,あき(らか)
974,宵,2.5,宀,소,밤,ショウ,よい
975,将,5,寸,장,"장차, 장수",ショウ,ひき(いる)・まさ(に…す)・はた
976,消,8,水,소,"사라지다, 끄다",ショウ,き(える)・け(す)
977,症,2.5,疒,증,증세,ショウ,しるし
978,祥,2.5,示,상,상서,ショウ,さいわ(い)・さち・きざ(し)
979,称,4,禾,칭,칭하다,ショウ,とな(える)・たた(える)・あ(げる)・かな(う)・はか(る)
980,笑,7,竹,소,웃다,ショウ,わら(う)・え(む)
981,唱,7,口,창,"부르다, 소리 내어 읽다, 주장하다",ショウ,とな(える)・うた(う)・うた
982,商,8,口,상,"장사, 장사하다",ショウ,あきな(う)・はか(る)
983,渉,2.5,水,섭,건너다,ショウ,わた(る)・かか(わる)
984,章,8,立,장,글,ショウ,あや・しるし・ふみ
985,紹,4,糸,소,소개,ショウ,つ(ぐ)
986,訟,2.5,言,송,소송,ショウ・ジュ,うった(える)
987,勝,8,力,승,"이기다, 우수하다",ショウ,か(つ)・まさ(る)・すぐ(れる)・た(える)
988,掌,3,手,장,손바닥,ショウ,てのひら・たなごころ・つかさど(る)
989,晶,3,日,정,보석,ショウ,あき(らか)
990,焼,7,火,소,태우다,ショウ,や(く)・や(ける)・く(べる)
991,焦,3,火,초,"타다, 그을다, 안달하다",ショウ,こ(げる)・こ(がす)・こ(がれる)・あせ(る)・や(く)・じ(らす)・じ(れる)
992,硝,2.5,石,초,화약,ショウ,無し
993,粧,2.5,米,장,단장,ショウ・ソウ,よそお(う)・めか(す)
994,詔,2.5,言,조,조서,ショウ,みことのり
995,証,6,言,증,증거,ショウ,あか(し)
996,象,6,豕,상,"코끼리, 대상",ショウ・ゾウ,かたち・かたど(る)
997,傷,5,人,상,"상처, 상하다",ショウ,きず・いた(む)・いた(める)・そこ(なう)
998,奨,2.5,大,장,장려하다,ショウ・ソウ,すす(める)
999,照,7,火,조,"비추다, 빛나다, 부끄러워하다",ショウ,て(る)・て(らす)・て(れる)
1000,詳,4,言,상,자세하다,ショウ,くわ(しい)・つまび(らか)
1001,彰,2.5,彡,창,드러나다,ショウ,あき(らか)・あらわ(す)・あらわ(れる)
1002,障,5,阜,장,거슬리다,ショウ,さわ(る)・へだ(てる)・ふせ(ぐ)
1003,憧,2,心,동,동경하다,シュウ・ドウ,あこが(れる)
1004,衝,3,行,충,"찌르다, 부딪히다",ショウ,つ(く)
1005,賞,6,貝,상,상금,ショウ,ほ(める)・め(でる)
1006,償,2.5,人,상,갚다,ショウ,つぐな(う)
1007,礁,2.5,石,초,암초,ショウ,かくれいわ
1008,鐘,3,金,종,종,ショウ・シュ,かね
1009,上,10,一,상,"위, 올리다, 오르다",ジョウ・ショウ,うえ・うわ・かみ・あ(げる)・あ(がる)・のぼ(る)・のぼ(せる)・のぼ(す)・たてまつ(る)・ほとり
1010,丈,4,一,장,"키, 길이",ジョウ,たけ
1011,冗,3,冖,용,쓸데 없음,ジョウ,むだ
1012,条,6,木,조,조건,ジョウ,えだ・すじ
1013,状,6,犬,"상, 장","상황, 문서",ジョウ,かたち・かきつけ
1014,乗,8,丿,승,타다,ジョウ・ショウ,の(る)・の(せる)
1015,城,7,土,성,성,ジョウ・セイ,しろ・き
1016,浄,2.5,水,정,깨끗하다,ジョウ,きよ(い)
1017,剰,2.5,刀,잉,남다,ジョウ,あま(る)・あま(す)・あまつさ(え)
1018,常,6,巾,상,항상,ジョウ,つね・とこ
1019,情,6,心,정,정,ジョウ・セイ,なさ(け)・こころ・おもむき
1020,場,9,土,장,마당,ジョウ,ば
1021,畳,4,田,첩,"개다, 다다미",ジョウ・チョウ,たた(む)・たたみ・かさ(ねる)
1022,蒸,5,艸,증,"증기, 무덥다, 뜸들다",ジョウ,む(す)・む(れる)・む(らす)・ふ(かす)・ふ(ける)・おお(い)
1023,縄,7,糸,승,새끼줄,ジョウ,なわ・ただ(す)
1024,壌,2.5,土,양,흙,ジョウ,つち
1025,嬢,3,女,양,아가씨,ジョウ,むすめ
1026,錠,3,金,정,덩이,ジョウ・テイ,無し
1027,譲,3,言,양,"양보하다, 주다",ジョウ,ゆず(る)・せ(める)
1028,醸,2.5,酉,양,"양조하다, 담그다",ジョウ,かも(す)
1029,色,9,色,색,색,ショク・シキ,いろ
1030,拭,2,手,식,닦다,シュク・シキ,ふ(く)・ぬぐ(う)
1031,食,9,食,식,"먹다, 받다",ショク・ジキ・シ,く(う)・く(らう)・た(べる)・は(む)
1032,植,8,木,식,심다,ショク・チ,う(える)・う(わる)・た(てる)
1033,殖,4,歹,식,늘다,ショク,ふ(える)・ふ(やす)
1034,飾,4,食,식,꾸미다,ショク,かざ(る)
1035,触,4,角,촉,"닿다, 만지다",ショク・ソク,ふれる・さわる
1036,嘱,3,口,촉,부탁하다,ショク,たの(む)
1037,織,6,糸,직,짜다,ショク・シキ,お(る)
1038,職,6,耳,직,직장,ショク・シキ,つと(め)・つかさ・つかさど(る)
1039,辱,3,辰,욕,모욕하다,ジョク・ニク,はずかし(める)・はじ・はずかし(め)・かたじけな(い)
1040,尻,2,尸,고,엉덩이,コウ,しり
1041,心,9,心,심,마음,シン,こころ・うら
1042,申,8,田,신,아뢰다,シン,もう(す)・さる・かさ(ねる)
1043,伸,3,人,신,"자라다, 늘다",シン,の(びる)・の(ばす)・の(べる)・の(す)・の(る)
1044,臣,7,臣,신,신하,シン・ジン,おみ
1045,芯,2,艸,심,심지,シン,とうしんぐさ
1046,身,8,身,신,몸,シン,み
1047,辛,3,辛,신,"맵다, 괴롭다",シン,から(い)・つら(い)・かのと
1048,侵,4,人,침,침범하다,シン,おか(す)・みにく(い)
1049,信,7,人,신,믿음,シン,まこと・まか(せる)・たよ(り)
1050,津,2.5,水,진,"나루터, 진액",シン,つ・しる
1051,神,8,示,신,신,シン・ジン,かみ・かん・こう・たましい
1052,唇,2.5,口,순,입술,シン,くちびる
1053,娠,2.5,女,신,임신,シン,はら(む)・みごも(る)
1054,振,4,手,진,흔들다,シン,ふ(る)・ふ(るう)・ふ(れる)・すく(う)
1055,浸,4,水,침,"담그다, 잠기다",シン,ひた(す)・ひた(る)・つ(く)・つ(かる)・し(みる)
1056,真,8,目,진,진짜,シン,ま・まこと
1057,針,5,金,침,바늘,シン,はり
1058,深,8,水,심,깊다,シン,ふか(い)・ふか(まる)・ふか(める)・ふ(ける)・み
1059,紳,2.5,糸,신,띠,シン,おおおび
1060,進,8,辵,진,나아가다,シン,すす(む)・すす(める)
1061,森,10,木,삼,숲,シン,もり
1062,診,2.5,言,진,진찰하다,シン,み(る)
1063,寝,4,宀,침,자다,シン,ね(る)・ね(かす)・みたまや・や(める)・みにく(い)
1064,慎,4,心,신,"삼가다, 조심스럽다",シン,つつし(む)・つつま(しい)・つつま(しやか)
1065,新,9,斤,신,새롭다,シン,あたら(しい)・あら(た)・にい・さら
1066,審,3,宀,심,살피다,シン,つまび(らか)
1067,震,4,雨,진,"흔들다, 떨다",シン,ふる(う)・ふる(える)
1068,薪,4,艸,신,장작,シン,たきぎ・まき
1069,親,9,見,친,"부모, 친하다",シン,おや・した(しい)・した(しむ)・みずか(ら)
1070,人,10,人,인,사람,ジン・ニン,ひと
1071,刃,2.5,刀,인,"칼, 칼날",ジン・ニン,は・やいば・き(る)
1072,仁,5,人,인,어질다,ジン・ニ・ニン,無し
1073,尽,4,尸,진,"다하다, 바닥나다, 없어지다",ジン,つ(くす)・つ(きる)・つ(かす)・すが(れる)・ことごと(く)
1074,迅,2.5,辵,신,빠르다,ジン,はや(い)・はげ(しい)
1075,甚,2.5,甘,심,"매우, 심하다",ジン,はなは(だ)・はなは(だしい)・いた(く)
1076,陣,4,阜,진,풀다,ジン・チン,じんだて
1077,尋,4,寸,심,묻다,ジン,たず(ねる)・つね・ひろ
1078,腎,2,肉,신,콩팥,ジン・シン,無し
1079,須,2,頁,수,모름지기,ス・シュ,ま(つ)・もち(いる)・もと(める)・すべか(らく…べし)・しばら(く)
