순번,한자,급수,부수,음,훈,音,訓
1080,図,9,囗,도,그림,ズ・ト,はか(る)・え
1081,水,10,水,수,물,スイ,みず
1082,吹,4,口,취,"불다, 뿜다",スイ,ふ(く)
1083,垂,5,土,수,늘어지다,スイ,た(れる)・た(らす)・しだ(れる)・しで・なんなん(とする)
1084,炊,3,火,취,밥을 짓다,スイ,た(く)・かし(ぐ)
1085,帥,2.5,巾,수,"장수, 머리",スイ・ソツ,ひき(いる)
1086,粋,3,米,수,"순수, 세련되다",スイ,いき
1087,衰,3,衣,쇠,쇠퇴하다,スイ・サイ,おとろ(える)
1088,推,5,手,추,"추리, 밀다, 추천하다",スイ,お(す)
1089,酔,3,酉,취,취하다,スイ,よ(う)
1090,遂,3,辵,수,"이루다, 마침내",スイ,と(げる)・おお(せる)・つい(に)
1091,睡,2.5,目,수,졸음,スイ,ねむ(る)
1092,穂,3,禾,수,이삭,スイ,ほ
1093,随,3,阜,수,따르다,ズイ,したが(う)
1094,髄,3,骨,수,뼛골,ズイ,無し
1095,枢,2.5,木,추,중심,スウ,とぼそ・かなめ
1096,崇,2.5,山,숭,높다,スウ・シュウ,たか(い)・たっと(ぶ)・とうと(ぶ)・あが(める)・お(わる)
1097,数,9,攵,수,"수, 세다",スウ・ス・シュ・サク・ソク,かず・かぞ(える)・しばしば
1098,据,2.5,手,거,"설치하다, 안정되다",キョ,す(える)・す(わる)
1099,杉,2.5,木,삼,삼나무,サン,すぎ
1100,裾,2,衣,거,옷자락,キョ,すそ
1101,寸,5,寸,촌,마디,スン・ソン,わず(か)・き
1102,瀬,3,水,뢰,여울,ライ,せ
1103,是,4,日,시,옳다,ゼ・シ,これ・こ(の)・ただ(しい)
1104,井,7,二,정,우물,セイ・ショウ,い・いげた
1105,世,8,一,세,세상,セイ・セ,よ
1106,正,10,止,정,바르다,セイ・ショウ,ただ(しい)・ただ(す)・まさ
1107,生,10,生,생,"살다, 태어나다, 나다",セイ・ショウ,い(きる)・い(かす)・い(ける)・う(まれる)・う(む)・お(う)・は(える)・は(やす)・き・なま・いのち・うぶ・な(る)・な(す)
1108,成,7,戈,성,"이루다, 되다",セイ・ジョウ,な(る)・な(す)
1109,西,9,襾,서,서쪽,セイ・サイ・スイ,にし
1110,声,9,士,성,소리,セイ・ショウ,こえ・こわ
1111,制,6,刀,제,절제,セイ,おさ(える)
1112,姓,4,女,성,성씨,セイ・ショウ,かばね
1113,征,4,彳,정,치다,セイ,ゆ(く)・う(つ)・と(る)
1114,性,6,心,성,성품,セイ・ショウ,さが・たち
1115,青,10,青,청,파랑,セイ・ショウ,あお・あお(い)
1116,斉,2.5,斉,제,가지런하다,セイ・サイ,ととの(える)・ひと(しい)・ものいみ
1117,政,6,攵,정,국정,セイ・ショウ,まつりごと
1118,星,9,日,성,별,セイ・ショウ,ほし
1119,牲,3,牛,생,희생,セイ,いけにえ
1120,省,7,目,성,"줄이다, 반성하다",セイ・ショウ,かえり(みる)・はぶ(く)
1121,凄,2,冫,처,"처참하다, 굉장하다",セイ,すさ(まじい)・すご(い)・すご(む)・さむ(い)
1122,逝,2.5,辵,서,죽다,セイ,ゆ(く)・い(く)
1123,清,7,水,청,"맑다, 깨끗이 하다",セイ・ショウ・シン,きよ(い)・きよ(まる)・きよ(める)・さや(か)・す(む)
1124,盛,5,皿,성,"쌓아 올리다, 활발하다",セイ・ジョウ,も(る)・さか(る)・さか(ん)
1125,婿,3,女,서,사위,セイ,むこ
1126,晴,9,日,청,맑다,セイ,は(れる)・は(らす)
1127,勢,6,力,세,"기세, 세력",セイ・セ,いきお(い)
1128,聖,5,耳,성,신성,セイ・ショウ,ひじり
1129,誠,5,言,성,"성의, 정성",セイ・ジョウ,まこと
1130,精,6,米,정,정신,セイ・ショウ,しら(げる)・くわ(しい)・もののけ
1131,製,6,衣,제,짓다,セイ,つく(る)
1132,誓,2.5,言,서,맹세하다,セイ・ゼイ,ちか(う)
1133,静,7,青,정,"조용하다, 가라앉다",セイ・ジョウ,しず・しず(か)・しず(まる)・しず(める)
1134,請,3,言,청,"청하다, 떠맡다",セイ・シン・ショウ,こ(う)・う(ける)
1135,整,8,攵,정,정리하다,セイ,ととの(える)・ととの(う)
1136,醒,2,酉,성,깨닫다,セイ,さ(める)・さ(ます)
1137,税,6,禾,세,세금,ゼイ・セイ,みつぎ
1138,夕,10,夕,석,저녁,セキ,ゆう
1139,斥,3,斤,척,물리치다,セキ,しりぞ(ける)・うかが(う)
1140,石,10,石,석,돌,セキ・シャク・コク・ジャク,いし
1141,赤,10,赤,적,"빨강, 아기",セキ・シャク,あか・あか(い)・あか(らむ)・あか(らめる)
1142,昔,8,日,석,옛날,セキ・シャク,むかし
1143,析,2.5,木,석,쪼개다,セキ,さ(く)・わ(ける)・わ(かれる)
1144,席,7,巾,석,자리,セキ,むしろ
1145,脊,2,肉,척,척추,セキ,せ・せい
1146,隻,3,隹,척,외짝,セキ,ひと(つ)
1147,惜,3,心,석,아깝다,セキ・シャク,お(しい)・お(しむ)
1148,戚,2,戈,척,겨레,セキ,みうち・いた(む)・うれ(える)
1149,責,6,貝,책,꾸짖다,セキ・シャク,せ(める)
1150,跡,4,足,적,자취,セキ・シャク,あと
1151,積,7,禾,적,쌓다,セキ・シ・シャク,つ(む)・つ(もる)・たくわ(える)
1152,績,6,糸,적,업적,セキ,つむ(ぐ)・う(む)・いさお
1153,籍,3,竹,적,문서,セキ・ジャク,ふみ・し(く)・ふ(む)
1154,切,9,刀,"절, 체","끊다, 자르다",セツ・サイ,き(る)・き(れる)
1155,折,7,手,절,꺾다,セツ・シャク,お(る)・おり・お(れる)・くじ(ける)・さだ(める)
1156,拙,2.5,手,졸,형편없다,セツ,つたな(い)・まず(い)
1157,窃,2.5,穴,절,훔치다,セツ,ぬす(む)・ひそ(かに)
1158,接,6,手,접,잇다,セツ・ショウ,つ(ぐ)・は(ぐ)・まじ(わる)・もてな(す)
1159,設,6,言,설,설치하다,セツ・セチ,もう(ける)・しつら(える)
1160,雪,9,雨,설,눈,セツ,ゆき・すす(ぐ)・そそ(ぐ)
1161,摂,3,手,섭,다스리다,セツ・ショウ,と(る)・か(ねる)・か(わる)
1162,節,7,竹,절,마디,セツ・セチ,ふし・みさお・ノット
1163,説,7,言,설,"설명, 말하다, 해석하다",セツ・ゼイ・エツ,と(く)・よろこ(ぶ)
1164,舌,5,舌,설,혀,ゼツ・セツ,した・ことば
1165,絶,6,糸,절,"끊다, 끝나다",ゼツ・ゼチ・セツ,た(える)・た(やす)・た(つ)・はなは(だ)・わた(る)
1166,千,10,十,천,1000,セン,ち
1167,川,10,川,천,강,セン,かわ
1168,仙,2.5,人,선,신선,セン,無し
1169,占,4,卜,점,"점치다, 차지하다",セン,し(める)・うらな(う)
1170,先,10,儿,선,먼저,セン,さき・ま(ず)
1171,宣,5,宀,선,베풀다,セン,の(べる)・のたま(う)
1172,専,5,寸,전,오로지,セン,もっぱ(ら)・ほしいまま
1173,泉,5,水,천,샘,セン,いずみ
1174,浅,7,水,천,얕다,セン,あさ(い)
1175,洗,5,水,세,씻다,セン,あら(う)
1176,染,5,木,염,"물들다, 번지다",セン・ゼン,そ(める)・そ(まる)・し(みる)・し(み)
1177,扇,4,戸,선,부채,セン,おうぎ・あお(ぐ)・おだ(てる)
1178,栓,2.5,木,전,마개,セン,無し
1179,旋,2.5,方,선,돌다,セン,めぐ(る)
1180,船,9,舟,선,배,セン,ふね・ふな
1181,戦,7,戈,전,"싸움, 싸우다",セン,いくさ・たたか(う)・おのの(く)・そよ(ぐ)
1182,煎,2,火,전,"볶다, 지지다",セン,い(る)・に(る)
1183,羨,2,羊,선,부럽다,セン・ゼン・エン,うらや(む)・うらや(ましい)・あま(る)・はかみち
1184,腺,2,肉,선,샘,セン,すじ
1185,詮,2,言,전,설명하다,セン,あきらか・しら(べる)・そな(わる)・えら(ぶ)
1186,践,2.5,足,천,밟다,セン,ふ(む)
1187,䇳,2,竹,전,기록하다,セン,ふだ・はりふだ・なふだ・ときあ(かし)・てがみ・かきもの
1188,銭,5,金,전,돈,セン・ゼン,ぜに・すき
1189,潜,3,水,잠,"숨다, 잠수하다",セン,ひそ(む)・もぐ(る)・くぐ(る)
1190,線,9,糸,선,"줄, 선",セン,いと・すじ
1191,遷,2.5,辵,천,옮기다,セン,うつ(る)・うつ(す)
1192,選,7,辵,선,고르다,セン,えら(ぶ)・え(る)・よ(る)・すぐ(る)
1193,薦,2.5,艸,천,추천하다,セン,すす(める)・こも・し(く)・しき(りに)
1194,繊,2.5,糸,섬,가늘다,セン・チン,ほそ(い)・ちい(さい)・しな(やか)
1195,鮮,4,魚,선,선명함,セン,あざ(やか)・あたら(しい)・すく(ない)
1196,全,8,入,전,"전부, 전혀",ゼン・セン,まった(く)・すべ(て)
1197,前,9,刀,전,앞,ゼン・セン,まえ・さき
1198,善,5,口,선,"착하다, 좋다",ゼン・セン,よ(い)
1199,然,7,火,연,당연,ゼン・ネン,しか(り)・しか(し)・しか(も)・も(える)
1200,禅,2.5,示,선,선,ゼン・セン,ゆず(る)
1201,漸,2.5,水,점,점차,ゼン・ザン,ようや(く)・すす(む)・やや
1202,膳,2,肉,선,밥상,ゼン・セン,そな(える)・かしわ
1203,繕,3,糸,선,수선하다,ゼン・セン,つくろ(う)
1204,狙,2,犬,저,노리다,ソ,ねら(う)・さる
1205,阻,3,阜,조,막다,ソ,はば(む)・けわ(しい)・へだ(たる)
1206,祖,6,示,조,조상,ソ,おや・じじ・はじ(め)
1207,租,2.5,禾,조,조세,ソ,みつぎ・ちんが(り)
1208,素,6,糸,소,요소,ソ・ス,もと・もと(より)・しろ(い)
1209,措,3,手,조,조치,ソ,お(く)・はか(らう)
1210,粗,3,米,조,"결점, 조잡하다",ソ,あら(い)・ほぼ
1211,組,9,糸,조,짜다,ソ,く(む)・くみ・くみひも
1212,疎,2.5,疋,소,"소원하다, 멀리하다, 소홀함",ソ・ショ,うと(い)・うと(む)・まば(ら)・うろ・おろ・おろそ(か)・おろ(か)・とお(る)・とお(す)
1213,訴,4,言,소,호소하다,ソ,うった(える)
1214,塑,2.5,土,소,빚다,ソ,でく
1215,遡,2,辵,소,거슬러 올라가다,ソ,さかのぼ(る)・む(かう)
1216,礎,3,石,초,주춧돌,ソ,いしずえ
1217,双,3,又,쌍,쌍,ソウ,ふた・ふた(つ)・たぐい・もろ・なら(ぶ)
1218,壮,2.5,士,장,장하다,ソウ,さか(ん)
1219,早,10,日,조,"이르다, 빨라지다",ソウ・サッ,はや(い)・はや(まる)・はや(める)・さ
1220,争,7,亅,쟁,다투다,ソウ,あらそ(う)・いさ(める)
1221,走,9,走,주,달리다,ソウ,はし(る)
1222,奏,5,大,주,연주하다,ソウ,かな(でる)・すす(める)
1223,相,8,目,상,서로,ソウ・ショウ,あい・さが・たす(ける)
1224,荘,2.5,艸,장,"별장, 씩씩하다",ソウ・ショウ,おごそ(か)・しもやしき
1225,草,10,艸,초,풀,ソウ,くさ
1226,送,8,辵,송,보내다,ソウ,おく(る)
1227,倉,7,人,창,창고,ソウ,くら・にわ(か)
1228,捜,2.5,手,수,찾다,ソウ,さが(す)
1229,挿,2.5,手,삽,꽂다,ソウ,さ(す)・はさ(む)・す(げる)・さしはさ(む)
1230,桑,3,木,상,뽕나무,ソウ,くわ
1231,巣,7,ツ,소,둥지,ソウ,す
1232,掃,3,手,소,쓸다,ソウ,は(く)・はら(う)
1233,曹,2.5,曰,조,무리,ソウ・ゾウ,つかさ・ともがら
1234,曽,2,曰,증,일찍,ソウ・ゾ・ソ・ゾウ,かつ(て)・かさ(なる)・ま(す)・すなわ(ち)
1235,爽,2,大,상,산뜻하다,ソウ,さわ(やか)・あき(らか)・たが(う)
1236,窓,5,穴,창,창문,ソウ,まど
1237,創,5,刀,창,만들다,ソウ,つく(る)・はじ(める)・きず
1238,喪,2.5,口,상,잃다,ソウ,も・うしな(う)・ほろ(びる)・ほろ(ぼす)
1239,痩,2,疒,수,"야위다, 살 빠지다",ソウ・シュウ,や(せる)・ほそ(い)・こ(ける)
1240,葬,3,艸,장,"매장하다, 장례",ソウ,ほうむ(る)
1241,装,5,衣,장,꾸미다,ソウ・ショウ,よそお(う)・よそ(う)
1242,僧,4,人,승,승려,ソウ,無し
1243,想,8,心,상,생각,ソウ・ソ,おも(う)
1244,層,5,尸,층,층,ソウ,かさ(なる)
1245,総,6,糸,총,거느리다,ソウ,す(べる)・すべ(て)・ふさ
1246,遭,3,辵,조,만나다,ソウ,あ(う)
1247,槽,2.5,木,조,물통,ソウ,かいばおけ・おけ・ふね
1248,踪,2,足,종,자취,ソウ・シュウ,あと
1249,操,5,手,조,"절조, 조종하다",ソウ,みさお・あやつ(る)・と(る)
1250,燥,4,火,조,마르다,ソウ,かわ(く)・はしゃ(ぐ)
1251,霜,2.5,雨,상,서리,ソウ,しも
1252,騒,4,馬,소,떠들다,ソウ,さわ(ぐ)・ざわ(つく)・ぞめ(く)・うれ(い)
1253,藻,2.5,艸,조,"해초, 수초",ソウ,も・あや
1254,造,6,辵,조,"만들다, 짓다",ゾウ,つく(る)・いた(る)・な(る)・はじ(める)・みやつこ
1255,像,6,人,상,모양,ゾウ・ショウ,かたち・かたど(る)
1256,増,6,土,증,"늘다, 증가하다",ゾウ・ソウ,ま(す)・ふ(える)・ふ(やす)
1257,憎,3,心,증,"밉다, 얄밉다",ゾウ・ソウ,にく(む)・にく(い)・にく(らしい)・にく(しみ)
1258,蔵,5,艸,장,창고,ゾウ・ソウ,くら・おさ(める)・かく(れる)
1259,贈,4,貝,증,주다,ゾウ・ソウ,おく(る)
1260,臓,5,肉,장,장기,ゾウ・ソウ,はらわた
1261,即,4,卩,즉,곧,ソク・ショク,つ(く)・すなわ(ち)
1262,束,7,木,속,"약속, 묶음, 다발",ソク,たば・つか・つか(ねる)
1263,足,10,足,족,"발, 충분하다, 만족하다, 더하다",ソク,あし・た(りる)・た(る)・た(す)
1264,促,3,人,촉,재촉하다,ソク,うなが(す)・せま(る)
1265,則,6,刀,칙,법칙,ソク,のり・のっと(る)・すなわ(ち)
1266,息,8,心,식,숨,ソク,いき・やす(む)
1267,捉,2,手,착,붙잡다,ソク,とら(える)・つか(まえる)・と(る)
1268,速,8,辵,속,빠르다,ソク,はや(い)・はや(める)・はや(まる)・すみ(やか)
1269,側,7,人,측,"측, 쪽",ソク・ショク,がわ・そば・はた・かたわ(ら)
1270,測,6,水,측,측정하다,ソク,はか(る)
1271,俗,4,人,속,풍속,ゾク,なら(わし)・いや(しい)
1272,族,8,方,족,겨례,ゾク,やから
1273,属,6,尸,속,무리,ゾク・ショク,つ(く)・やから
1274,賊,3,貝,적,도둑,ゾク,そこ(なう)・わるもの
1275,続,7,糸,속,계속하다,ゾク・ショク,つづ(く)・つづ(ける)・つ(ぐ)
1276,卒,7,十,졸,마침,ソツ・シュツ,しもべ・お(わる)・お(える)・にわ(かに)・つい(に)
1277,率,6,玄,"솔, 율","이끌다, 비율",ソツ・リツ・スイ・シュツ,ひき(いる)・したが(う)・おおむ(ね)・わりあい・かしら
1278,存,5,子,존,있다,ソン・ゾン,あ(る)・たも(つ)・ながら(える)・と(う)
1279,村,10,木,촌,마을,ソン,むら
1280,孫,7,子,손,손자,ソン,まご
1281,尊,5,寸,존,"귀중하다, 존중하다",ソン,たっと(い)・とうと(い)・たっと(ぶ)・とうと(ぶ)・みこと
1282,損,6,手,손,"손해, 손상하다, 해치다",ソン,そこ(なう)・そこ(ねる)・へ(る)
1283,遜,2,辵,손,겸손하다,ソン,へりくだ(る)・ゆず(る)・のが(れる)
1284,他,8,人,타,다른 것,タ,ほか
1285,多,9,夕,다,많다,タ,おお(い)
1286,汰,2,水,태,일다,タ・タイ,よな(げる)・にご(る)・おご(る)
1287,打,8,手,타,때리다,ダ・チョウ・テイ,う(つ)・ぶ(つ)・ダース
1288,妥,2.5,女,타,타당,ダ・タ,やす(らか)・おだ(やか)
1289,唾,2,口,타,침착하다,ダ・タ,つば
1290,堕,2.5,土,타,떨어지다,ダ,お(ちる)・こぼ(つ)
1291,惰,2.5,心,타,게으르다,ダ・タ,おこた(る)
1292,駄,2.5,馬,태,헛됨,ダ・タ,の(せる)
1293,太,9,大,태,"굵다, 살찌다",タイ・タ・ダイ,ふと(い)・ふと(る)・はなは(だ)
1294,対,8,寸,대,대하다,タイ・ツイ,む(かう)・つれあい・こた(える)・そろ(い)
1295,体,9,人,체,몸,タイ・テイ,からだ
1296,耐,4,而,내,견디다,タイ,た(える)
1297,待,8,彳,대,기다리다,タイ,ま(つ)
1298,怠,3,心,태,"게으르다, 나른하다",タイ,おこた(る)・なま(ける)・だる(い)
1299,胎,3,肉,태,아이배다,タイ,はら(む)
1300,退,5,辵,퇴,"물러나다, 물리치다",タイ,しりぞ(く)・しりぞ(ける)・の(く)・の(ける)・すさ(る)・しさ(る)・ひ(く)
1301,帯,7,巾,대,"띠, 차다",タイ,お(びる)・おび
1302,泰,2.5,水,태,태연하다,タイ,やす(い)・やす(らか)・おご(る)
1303,堆,2,土,퇴,쌓이다,タイ・ツイ,うずたか(い)
1304,袋,3,衣,대,주머니,タイ・テイ,ふくろ
1305,逮,3,辵,체,잡다,タイ,およ(ぶ)・とら(える)
1306,替,4,曰,체,바꾸다,タイ・テイ,か(える)・か(わる)
1307,貸,6,貝,대,빌려주다,タイ,か(す)
1308,隊,7,阜,대,무리,タイ・ツイ,くみ・お(ちる)
1309,滞,3,水,체,"밀리다, 막히다, 머무르다",タイ,とどこお(る)
1310,態,6,心,태,모습,タイ・テイ,さま・わざ(と)
1311,戴,2,戈,대,이다,タイ,いただ(く)
1312,大,10,大,대,크다,ダイ・タイ・タ・ダ,おお・おお(きい)・おお(いに)
1313,代,8,人,대,대신하다,ダイ・タイ,か(わる)・か(える)・よ・しろ
1314,台,9,口,"대, 태","대, 태",ダイ・タイ,うてな・しもべ
1315,第,8,竹,제,차례,ダイ・テイ,つい(で)・やしき
1316,題,8,頁,제,제목,ダイ・テイ,無し
1317,滝,3,水,롱,적시다,ロウ,たき
1318,宅,5,宀,"댁, 택",집,タク,いえ・やけ
1319,択,3,手,택,고르다,タク,えら(ぶ)・よ(る)
1320,沢,4,水,택,"못, 빛나다",タク,さわ・うるお(う)・つや
1321,卓,3,十,탁,책상,タク・シツ,つくえ・すぐ(れる)
1322,拓,4,手,"척, 탁",넓히다,タク,ひら(く)
1323,託,3,言,탁,"부탁, 한탄하다",タク,ことづ(かる)・かこつ(ける)・かこ(つ)
1324,濯,2.5,水,탁,씻다,タク,あら(う)・すす(ぐ)
1325,諾,3,言,낙,받아들이다,ダク,うべな(う)
1326,濁,4,水,탁,흐리다,ダク・ジョク,にご(る)・にご(す)
1327,但,2.5,人,단,다만,タン・ダン,ただ(し)・ただ
1328,達,7,辵,달,"통달, 여럿",タツ・ダチ・タチ,とお(る)・とど(く)・たち・たし
1329,脱,4,肉,탈,벗다,ダツ・タツ,ぬ(ぐ)・ぬ(げる)
1330,奪,3,大,탈,빼앗다,ダツ・タツ,うば(う)
1331,棚,2.5,木,붕,선반,ホウ,たな
1332,誰,2,言,수,누구,スイ,だれ・たれ・た
1333,丹,4,丶,단,성심,タン,に・あか・まごころ
1334,旦,2,日,단,아침,タン・ダン,あした
1335,担,5,手,담,"메다, 짊어지다, 맡다",タン,かつ(ぐ)・にな(う)
1336,単,7,ツ,단,홑,タン・ゼン,ひと(つ)・ひとえ
1337,炭,8,火,탄,숯,タン,すみ
1338,胆,3,肉,담,쓸개,タン・トウ,きも
1339,探,5,手,탐,"찾다, 살피다",タン,さぐ(る)・さが(す)
1340,淡,4,水,담,"연하다, 담담함",タン,あわ(い)・うす(い)
1341,短,8,矢,단,짧다,タン,みじか(い)
1342,嘆,4,口,탄,한탄하다,タン,なげ(く)・なげ(かわしい)
1343,端,4,立,단,끝,タン,はし・は・はた・ただ(しい)・はな・はじ(め)・はした
1344,綻,2,糸,탄,터지다,タン,ほころ(びる)
1345,誕,5,言,탄,탄생,タン,う(まれる)・いつわ(る)・ほしいまま
1346,鍛,3,金,단,단련하다,タン,きた(える)
1347,団,6,囗,단,단체,ダン・トン・タン,まる(い)・かたまり
1348,男,10,田,남,남자,ダン・ナン,おとこ・おのこ
1349,段,5,殳,단,층계,ダン・タン,きざはし
1350,断,6,斤,단,"끊다, 거절하다",ダン,た(つ)・ことわ(る)・さだ(める)
1351,弾,4,弓,탄,"탄알, 연주하다, 튀다",ダン,ひ(く)・はず(む)・たま・はじ(く)・はじ(ける)・はず(み)・ただ(す)
1352,暖,5,日,난,따뜻하다,ダン・ノン,あたた(か)・あたた(かい)・あたた(まる)・あたた(める)
1353,談,8,言,담,말씀,ダン・タン,かた(る)
1354,壇,3,土,단,단,ダン・タン,無し
1355,地,9,土,지,땅,チ・ジ,つち・ところ
1356,池,9,水,지,연못,チ,いけ
1357,知,9,矢,지,알다,チ,し(る)・し(らせる)
1358,値,5,人,치,가치가 있다,チ・チョク,ね・あたい・あ(う)
1359,恥,4,心,치,부끄럽다,チ,は(じる)・はじ・は(じらう)・は(ずかしい)
1360,致,4,至,치,이르게 하다,チ,いた(す)
1361,遅,4,辵,지,늦다,チ,おく(れる)・おく(らす)・おそ(い)
1362,痴,2.5,疒,치,어리석다,チ,おろ(か)・し(れる)・おこ
1363,稚,3,禾,치,어리다,チ,わか(い)・いとけな(い)
1364,置,7,网,치,놓다,チ,お(く)
1365,緻,2,糸,치,빽빽하다,チ,こま(かい)
1366,竹,10,竹,죽,대나무,チク,たけ
1367,畜,3,田,축,짐승,チク・キク,やしな(う)・か(う)・たくわ(える)
1368,逐,2.5,辵,축,차례로,チク・ジク,お(う)
1369,蓄,4,艸,축,"비축하다, 모으다",チク,たくわ(える)
1370,築,6,竹,축,쌓다,チク,きず(く)・つ(く)
1371,秩,2.5,禾,질,질서,チツ,つい(で)・ふち
1372,窒,3,穴,질,막히다,チツ,ふさ(がる)
1373,茶,9,艸,"다, 차",차,チャ・サ,無し
1374,着,8,羊,착,"옷, 입다, 도착하다",チャク・ジャク,き(る)・き(せる)・つ(く)・つ(ける)
1375,嫡,2.5,女,적,정실,チャク・テキ,よつぎ
1376,中,10,丨,중,"가운데, 안",チュウ・ジュウ,なか・あ(たる)・あ(てる)
1377,仲,7,人,중,사이,チュウ,なか
1378,虫,10,虫,충,벌레,チュウ,むし
1379,沖,7,水,충,먼바다,チュウ,おき・と(ぶ)・むな(しい)
1380,宙,5,宀,주,집,チュウ,そら
1381,忠,5,心,충,충성,チュウ,まごころ
1382,抽,3,手,추,뽑다,チュウ,ひ(く)・ぬ(く)
1383,注,8,水,주,"쏟다, 붓다, 따르다",チュウ,そそ(ぐ)・つ(ぐ)・さ(す)
1384,昼,9,日,주,낮,チュウ,ひる
1385,柱,8,木,주,기둥,チュウ,はしら
1386,衷,2.5,衣,충,속마음,チュウ,うち・こころ・まこと
1387,酎,2,酉,주,술,チュウ,無し
1388,鋳,3,金,주,주조하다,チュウ・シュ,い(る)
1389,駐,3,馬,주,머무르다,チュウ・チュ,とど(まる)
1390,著,5,艸,저,"저술하다, 두드러지다",チョ・チャク・ジャク,あらわ(す)・いちじる(しい)・き(る)・つ(く)
1391,貯,6,貝,저,쌓다,チョ,たくわ(える)
1392,丁,8,一,정,정중함,チョウ・テイ・トウ,ひのと・あ(たる)
1393,弔,2.5,弓,조,문상하다,チョウ,とむら(う)
1394,庁,5,广,청,관청,チョウ・テイ,無し
1395,兆,7,儿,조,"1,000,000,000,000, 징조, 싹트다",チョウ・ジョウ,きざ(す)・きざ(し)・うらな(い)
1396,町,10,田,정,마을,チョウ・テイ,まち・あぜみち
1397,長,9,長,장,"길다, 윗 사람",チョウ・ジョウ,なが(い)・た(ける)・おさ
1398,挑,2.5,手,도,도전하다,チョウ,いど(む)
1399,帳,8,巾,장,수첩,チョウ,とばり
1400,張,6,弓,장,"뻗다, 팽팽해지다",チョウ,は(る)
1401,彫,3,彡,조,새기다,チョウ,ほ(る)
1402,眺,2.5,目,조,바라보다,チョウ,なが(める)
1403,釣,2.5,金,조,낚다,チョウ,つ(る)
1404,頂,5,頁,정,"받다, 모시다, 꼭대기",チョウ・テイ,いただ(く)・いただき
1405,鳥,9,鳥,조,새,チョウ,とり
1406,朝,9,月,조,아침,チョウ,あさ・あした
1407,貼,2,貝,첩,바르다,チョウ・テン,は(る)・つ(ける)
1408,超,3,走,초,넘다,チョウ,こ(える)・こ(す)
1409,腸,5,肉,장,창자,チョウ,はらわた・わた
1410,跳,4,足,도,뛰다,チョウ,は(ねる)・と(ぶ)・おど(る)
1411,徴,4,彳,징,부르다,チョウ・チ,しるし・め(す)
1412,嘲,2,口,조,비웃다,チョウ・トウ,あざけ(る)・からか(う)
1413,潮,5,水,조,바닷물,チョウ,しお・うしお
1414,澄,4,水,징,맑다,チョウ,す(む)・す(ます)
1415,調,8,言,조,"조사하다, 찾다, 성립되다, 갖추다",チョウ,しら(べる)・ととの(う)・ととの(える)・やわら(ぐ)・あざけ(る)・みつぎ
1416,聴,3,耳,청,듣다,チョウ・テイ,き(く)・ゆる(す)
1417,懲,2.5,心,징,"질리다, 벌주다",チョウ,こ(りる)・こ(らす)・こ(らしめる)
1418,直,9,目,직,"곧다, 즉시, 고치다",チョク・ジキ・チ,ただ(ちに)・なお(す)・なお(る)・じか・すぐ・あたい・ひた
1419,勅,2.5,力,칙,칙명,チョク,みことのり
1420,捗,2,手,척,진척,チョク,はかど(る)
1421,沈,4,水,침,"가라앉다, 지다",チン・ジン,しず(む)・しず(める)
1422,珍,4,玉,진,드물다,チン,めずら(しい)
1423,朕,2.5,月,짐,나,チン,われ・きざ(し)
1424,陳,3,阜,진,진치다,チン・ジン,つら(ねる)・の(べる)・ひ(ねる)・ふる(い)
1425,賃,5,貝,임,품삯,チン・ジン,やと(う)
1426,鎮,3,金,진,진정하다,チン,しず(める)・しず(まる)・おさ(え)
1427,追,8,辵,추,쫓다,ツイ,お(う)
1428,椎,2,木,추,"망치, 등골",ツイ・スイ,しい・つち・せぼね・う(つ)
1429,墜,3,土,추,떨어지다,ツイ,お(ちる)
